ai_likelihood,domain,llm_prediction_CLAUDE,llm_prediction_DEEPSEEK,llm_prediction_GOOGLE,llm_prediction_GPT35,llm_prediction_GPT4,llm_prediction_GROK,llm_prediction_HUMAN,llm_prediction_NOVA,llm_prediction_OPENAI_O_SERIES,llm_prediction_OTHER,paper_id,process
1.1920928955078125e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2078910206,original
1.2583202785915798e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2791908275,original
2.1921263800726996e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2149963961,original
0.00010093053181966147,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2565470711,original
7.583035363091363e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2098282247,original
1.986821492513021e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2125267610,original
3.940529293484158e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2179359494,original
1.986821492513021e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1984560414,original
9.934107462565105e-08,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2166115851,original
3.5100513034396704e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2060130304,original
3.1391779581705734e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2769691579,original
1.2516975402832031e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2469444816,original
6.278355916341147e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2913341946,original
6.291601392957899e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2149221874,original
